번호,제목,내용,점수,점수2
1,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",다들 슬프다고 하길래 보기 싫었지만 그래도 너무 보고싶어서 봤어요 처음 시작부터 슬프더라구요ㅠㅠ 눙물 뚝뚝 흘럿네요 아침에 깨어나면 모든 기억을 잃는다는 게 무슨 기분일지ㅠㅠ 책을 읽지 않고 봐서 더 좋았던 것 같아요 후반부에 예상치 못한 장면이 나와서 눈물 폭포처럼 쏟아냈네요ㅠㅠ눈물 못 그칠 정도로 슬프고 감동적인 인생 영화입니다 이렇게 감동적인 영화는 처음이에요 여주 남주 연기와 ost가 더 감동적이고 슬픈 장면을 만들어준 것 같아요 정말 재밌지만 너무 슬펐던 영화입니다 캐스팅을 너무 잘한 것 같아요 정말 분위기도 어울리고 얼굴합이 너무 좋네요 연기도 너무 잘하고!!! 완벽한 영화.,10,1
2,탄생,배우들의 연기가 최고였다 ,10,1
3,올빼미,초반은 좀 지루하지만 갈수록 흥미진진해 지네요,8,1
4,모가디슈,너무나 잘봤습니다! 마지막 이 시대가 만든 이언 남북의.. 안타깝고 슬펐네요 ㅠ,8,1
5,시,시는 아름다와야 하건만 시의 소재가 되는 일상에는 아름다운게 없다.,10,1
6,본즈 앤 올,"사랑하기에 변하고, 사랑하기에 잔인해지고, 사랑하기에 희생하고, 사랑하기에 성장하는 사랑의 여러 모습들에 대한 완벽한 로맨스 영화.",10,1
7,탄생,잘만든 전기영화. 종교인 아니라도 역사물로 괜춘....,7,1
8,헌트,오 의외로 잘봤습니다! 시대가...참 안타깝네요,8,1
9,헌트,역시.. 짬은 무시 못 한다.감독으로서 안정적 입봉 축하드립니다!,8,1
10,탄생,재미있게 잘 봤어요!! 구성도 배우 캐스팅도 탄탄하네요!!,10,1
